,Item Name,Quantity,Price,Date,Customer ID,Year,Sales
0,Giffard Coffee Liqueur 700ml,1,44.2,2016-03-17,6418,2016,44.2
1,St Hallett Eden Valley Riesling,1,37.4,2016-03-17,6418,2016,37.4
2,Macallan 12 Years Sherry Oak,1,108.8,2016-03-18,6419,2016,108.8
3,Macallan 12 Years Sherry Oak,1,108.8,2016-03-18,6420,2016,108.8
4,St Francis Sonama County Chardonnay,1,51.0,2016-03-19,6421,2016,51.0
5,St Francis Sonama County Chardonnay,1,51.0,2016-03-19,6421,2016,51.0
6,St Francis Sonama County Chardonnay,1,51.0,2016-03-19,6421,2016,51.0
7,Giffard Guignolet Kirsch Liqueur 700ml,1,52.0,2016-03-19,6422,2016,52.0
8,"Torres Sangre de Toro Red, DO Catalunya",1,29.33,2016-03-24,6423,2016,29.33
9,"Torres Sangre de Toro Red, DO Catalunya",1,29.33,2016-03-24,6423,2016,29.33
10,Macallan 12 Years Sherry Oak,1,108.8,2016-03-26,6424,2016,108.8
11,Macallan 12 Years Sherry Oak,1,108.8,2016-04-04,6425,2016,108.8
12,Macallan 12 Years Sherry Oak,1,118.8,2016-04-19,6426,2016,118.8
13,Macallan 12 Years Sherry Oak,1,118.8,2016-04-19,6426,2016,118.8
14,Macallan 12 Years Sherry Oak,1,118.8,2016-04-19,6426,2016,118.8
15,Macallan 12 Years Sherry Oak,1,118.8,2016-04-19,6426,2016,118.8
16,Macallan 12 Years Sherry Oak,1,118.8,2016-04-19,6426,2016,118.8
17,Louis Jadot Meursault,1,98.1,2016-04-23,6427,2016,98.1
18,Torres Sangre de Toro Red,1,29.3,2016-04-24,6428,2016,29.3
19,Macallan Sherry Oak 12 Yrs Scotch Whiskey,1,108.5,2016-05-02,6429,2016,108.5
20,Dom Perignon Vintage 2006,1,261.25,2016-05-04,6430,2016,261.25
21,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Red",1,37.05,2016-05-09,6431,2016,37.05
22,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Red",1,37.05,2016-05-09,6431,2016,37.05
23,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Red",1,37.05,2016-05-09,6431,2016,37.05
24,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Red",1,37.05,2016-05-09,6431,2016,37.05
25,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Red",1,37.05,2016-05-09,6431,2016,37.05
26,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Blanc",1,37.05,2016-05-09,6431,2016,37.05
27,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Blanc",1,37.05,2016-05-09,6431,2016,37.05
28,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Blanc",1,37.05,2016-05-09,6431,2016,37.05
29,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Blanc",1,37.05,2016-05-09,6431,2016,37.05
30,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Blanc",1,37.05,2016-05-09,6431,2016,37.05
31,"M. Chapoutier Cotes-du-Rhone ""Belleruche"" Blanc",1,37.05,2016-05-14,6432,2016,37.05
32,Kavalan Collection Single Malt Whisky Box 5 Mignonettes,1,95.95,2016-05-15,6433,2016,95.95
33,Stassen Elderflower & Lime Over Ice Cider 24 x 330ml,1,76.05,2016-05-18,6414,2016,76.05
34,Bitter Truth Old Time Aromatic Bitters 200ml,1,45.6,2016-05-20,6434,2016,45.6
35,Pinical Estate Shiraz,1,21.85,2016-05-24,6435,2016,21.85
36,Pinical Estate Shiraz,1,21.85,2016-05-24,6435,2016,21.85
37,Pinical Estate Shiraz,1,21.85,2016-05-24,6435,2016,21.85
38,Pinical Estate Shiraz,1,21.85,2016-05-24,6435,2016,21.85
39,Pinical Estate Shiraz,1,21.85,2016-05-24,6435,2016,21.85
40,Louis Jadot Pouilly Fuisse,1,64.6,2016-05-25,6436,2016,64.6
41,Louis Jadot Beaujolais-Villages Combe Aux Jacques,1,37.05,2016-05-25,6436,2016,37.05
42,Louis Jadot Beaujolais-Villages Combe Aux Jacques,1,37.05,2016-05-25,6436,2016,37.05
43,Louis Jadot Pouilly Fuisse,1,64.6,2016-05-25,6436,2016,64.6
44,Perrier Jouet Grand Brut NV,1,324.0,2016-05-26,6437,2016,324.0
45,Perrier Jouet Grand Brut NV,1,324.0,2016-05-26,6437,2016,324.0
46,Perrier Jouet Grand Brut NV,1,324.0,2016-05-26,6437,2016,324.0
47,Perrier Jouet Grand Brut NV,1,324.0,2016-05-26,6437,2016,324.0
48,"Kavalan Solist Vinho Barrique Cask Strength Single Malt Whisky
700ml",1,468.35,2016-06-01,6438,2016,468.35
49,"Kavalan Solist Vinho Barrique Cask Strength Single Malt Whisky
700ml",1,468.35,2016-06-01,6438,2016,468.35
50,Torbreck The Bothie (Muscat a petit grains) 2012,1,39.9,2016-06-02,6439,2016,39.9
51,Absolut Vodka Original,1,45.0,2016-06-08,6440,2016,45.0
52,Louis Jadot Pouilly Fuisse 2014,1,64.6,2016-06-09,6441,2016,64.6
53,Perrier Jouet Grand Brut NV,1,64.6,2016-06-09,6442,2016,64.6
54,Perrier Jouet Grand Brut NV,1,367.2,2016-06-09,6443,2016,367.2
55,Perrier Jouet Grand Brut NV,1,367.2,2016-06-09,6444,2016,367.2
56,Kavalan Single Malt 700ml,1,114.75,2016-06-09,6445,2016,114.75
57,Torbreck Woodcutter's Shiraz,1,57.0,2016-06-11,6446,2016,57.0
58,La Tazza D'oro Miscela Gold Cafe Espresso Whole Beans 1kg,1,36.55,2016-06-13,6447,2016,36.55
59,Bulleit Bourbon Frontier Whiskey,1,75.05,2016-06-13,6448,2016,75.05
60,Inniskillin Icewine Cabernet Franc 2008,1,153.9,2016-06-17,6449,2016,153.9
61,Perrier Jouet Grand Brut NV,1,367.2,2016-06-22,6450,2016,367.2
62,Kavalan Concertmaster Port Cask Finish,1,114.0,2016-06-24,6451,2016,114.0
63,Dolin De Chambery Vermouth Dry 750ml,1,48.45,2016-06-24,6452,2016,48.45
64,Abuelo Anejo 12 Years Rum,1,97.85,2016-06-28,6415,2016,97.85
65,Abuelo Anejo 12 Years Rum,1,97.85,2016-06-28,6415,2016,97.85
66,Tiger Lager Beer Cans 323ml,1,58.14,2016-06-29,6453,2016,58.14
67,Tiger Lager Beer Cans 323ml,1,58.14,2016-06-29,6454,2016,58.14
68,Tiger Lager Beer Cans 323ml,1,58.14,2016-06-30,6455,2016,58.14
69,Tiger Lager Beer Cans 323ml,1,58.14,2016-06-30,6455,2016,58.14
70,St Francis Sonoma Valley Merlot 2012,1,45.9,2016-06-30,6456,2016,45.9
71,St Francis Sonoma Valley Merlot 2012,1,45.9,2016-06-30,6456,2016,45.9
72,Bulleit Bourbon Frontier Whiskey,1,71.3,2016-06-30,6457,2016,71.3
73,Kavalan Single Malt 700ml,1,114.0,2016-07-02,6458,2016,114.0
74,Abuelo Anejo 12 Years Rum,1,92.96,2016-07-06,6459,2016,92.96
75,Inniskillin Icewine Riesling 2008,1,118.8,2016-07-06,6449,2016,118.8
76,Kavalan Single Malt 700ml,1,114.0,2016-07-07,6460,2016,114.0
77,"Dom Perignon Vintage 2005 and Michel Cluziel 8pc French Chocolate
Pralines Set",1,259.0,2016-07-08,6461,2016,259.0
78,Heineken Lager Beer Cans (24x330ml),1,67.69,2016-07-10,6462,2016,67.69
79,Dolin De Chambery Vermouth Dry 750ml,1,48.45,2016-07-11,6463,2016,48.45
80,Martin Miller's Artic Clarity,1,84.55,2016-07-11,6463,2016,84.55
81,Perrier Jouet Grand Brut NV,1,367.2,2016-07-12,6464,2016,367.2
82,Perrier Jouet Grand Brut NV,1,367.2,2016-07-12,6464,2016,367.2
83,Pinical Estate Shiraz,1,21.85,2016-07-12,6465,2016,21.85
84,Pinical Estate Shiraz,1,21.85,2016-07-12,6465,2016,21.85
85,Pinical Estate Shiraz,1,21.85,2016-07-12,6465,2016,21.85
86,Pinical Estate Shiraz,1,21.85,2016-07-12,6465,2016,21.85
87,Pinical Estate Shiraz,1,21.85,2016-07-12,6465,2016,21.85
88,Abuelo Anejo 12 Years Rum,1,97.85,2016-07-12,6466,2016,97.85
89,Balvenie Caribbean Cask 14 Years Old,1,178.6,2016-07-14,6467,2016,178.6
90,"Bolla Valpolicella Amarone Della Valpolicella Classico Riserva Le
Origini 2009",1,81.7,2016-07-16,6468,2016,81.7
91,"Bolla Valpolicella Amarone Della Valpolicella Classico Riserva Le
Origini 2009",1,81.7,2016-07-16,6468,2016,81.7
92,Penfolds Bin 407 Cabernet Sauvignon 2011,1,84.9,2016-07-19,6469,2016,84.9
93,Absolut Vodka Original,1,44.0,2016-07-21,6470,2016,44.0
94,Absolut Vodka Original,1,44.0,2016-07-21,6470,2016,44.0
95,Cakebread Cellars Napa Valley Cabernet Sauvignon 2012,1,148.2,2016-07-23,6471,2016,148.2
96,Cakebread Cellars Napa Valley Cabernet Sauvignon 2012,1,148.2,2016-07-23,6471,2016,148.2
97,La Tazza D'oro Miscela Gold Cafe Espresso Whole Beans 1kg,1,43.0,2016-07-26,6472,2016,43.0
98,Absolut Vodka Original,1,44.0,2016-07-28,6473,2016,44.0
99,Absolut Vodka Original,1,44.0,2016-07-28,6473,2016,44.0
100,Absolut Vodka Original,1,44.0,2016-07-28,6473,2016,44.0
101,Absolut Vodka Original,1,44.0,2016-07-28,6473,2016,44.0
102,Pinical Estate Shiraz,1,21.85,2016-07-29,6474,2016,21.85
103,Pinical Estate Semillon Sauvignon Blanc,1,21.85,2016-07-29,6474,2016,21.85
104,Bulleit Rye,1,87.4,2016-07-31,6448,2016,87.4
105,Bulleit Bourbon Frontier Whiskey,1,75.05,2016-07-31,6448,2016,75.05
106,Pinical Estate Shiraz,1,21.85,2016-08-05,6475,2016,21.85
107,Pinical Estate Shiraz,1,21.85,2016-08-05,6475,2016,21.85
108,"Bolla Valpolicella Amarone Della Valpolicella Classico Riserva Le
Origini 2009",1,81.7,2016-08-06,6476,2016,81.7
109,"Bolla Valpolicella Amarone Della Valpolicella Classico Riserva Le
Origini 2009",1,81.7,2016-08-06,6476,2016,81.7
110,Absolut Vodka Original,1,44.0,2016-08-08,6477,2016,44.0
111,Perrier Jouet Grand Brut NV,1,372.6,2016-08-09,6478,2016,372.6
112,Dolin Vermouth de Chambéry Red 750ml,1,48.45,2016-08-18,6452,2016,48.45
113,Heineken Lager Beer Cans (24x330ml),1,71.25,2016-08-18,6479,2016,71.25
114,Louis Jadot Meursault Blanc 2013,1,99.0,2016-08-21,6480,2016,99.0
115,Louis Jadot Meursault Blanc 2013,1,99.0,2016-08-21,6480,2016,99.0
116,Pierre Jean Merlot,1,23.75,2016-08-22,6481,2016,23.75
117,Pierre Jean Merlot,1,23.75,2016-08-22,6481,2016,23.75
118,Perrier Jouet Grand Brut NV,1,375.84,2016-08-22,6482,2016,375.84
